z,Hz_LCDM,Hz_QFED_mu_0.1
0.01,70.32048622279652,70.29622690138228
1.1110910910910912,131.410376922317,130.46737862373124
2.212182182182182,228.46226205407615,227.63394522809514
3.313273273273273,348.61642584628936,347.9467923559178
4.414364364364364,486.9372820859151,486.3896132010889
5.515455455455456,640.903305128483,640.4458215978664
6.616546546546546,808.9090497193354,808.5193842058092
7.717637637637638,989.8009388401777,989.4635379426885
8.818728728728729,1182.6898493079195,1182.3936798686482
9.91981981981982,1386.8592589846687,1386.5962933663714
11.020910910910912,1601.7137705663986,1601.4780231617074
12.122002002002002,1826.7474172496702,1826.5343253169688
13.223093093093093,2061.5227737004047,2061.3287904815256
14.324184184184185,2305.6564693948676,2305.4787900440715
15.425275275275276,2558.808739211018,2558.6451117078796
16.526366366366368,2820.6756471143203,2820.5242388779047
17.62745745745746,3090.9831502480697,3090.842452118755
18.728548548548552,3369.48247126316,3369.3512271036834
19.82963963963964,3655.946425668809,3655.8235798847777
20.930730730730733,3950.166462217051,3950.0511200428327
22.031821821821826,4251.950246022371,4251.841643054015
23.132912912912914,4561.1196617693795,4561.017140299035
24.234004004004007,4877.509146889411,4877.412137312898
25.3350950950951,5200.964287311798,5200.87229336901
26.436186186186188,5531.340624598441,5531.253211543826
27.53727727727728,5868.502635033098,5868.419420070589
28.638368368368372,6212.322849915193,6212.243494400803
29.739459459459464,6562.6810928038385,6562.6052958410555
30.840550550550553,6919.463814384186,6919.3913075263
31.941641641641645,7282.563509409044,7282.494052248334
33.04273273273273,7651.878203101997,7651.811579574807
34.14382382382382,8027.310996706852,8027.247011980619
35.244914914914915,8408.769663685936,8408.70814152243
36.34600600600601,8796.166289519704,8796.107070030326
37.4470970970971,9189.416949225442,9189.359886951239
38.54818818818819,9588.44141765664,9588.386379918677
39.64927927927928,9993.162908414073,9993.1097738901
40.75037037037037,10403.507837830966,10403.45649532245
41.85146146146146,10819.40561101578,10819.35595837577
42.952552552552554,11240.78842736884,11240.740370566324
44.053643643643646,11667.591103349961,11667.544555650575
45.15473473473474,12099.750910577135,12099.705791823413
46.25582582582582,12537.207427591402,12537.16366356852
47.356916916916916,12979.902403839124,12979.85992571433
48.45800800800801,13427.779634606322,13427.738378432108
49.5590990990991,13880.784845796552,13880.744752069118
50.66019019019019,14338.865587577944,14338.826600843815
51.761281281281285,14801.971136040478,14801.933204545147
52.86237237237237,15270.052402104135,15270.015477477495
53.96346346346346,15743.061847004852,15743.02588397895
55.064554554554554,16220.953403759919,16220.918359915137
56.16564564564565,16703.682404079842,16703.64823961618
57.26673673673674,17191.205510250606,17191.172187781187
58.36782782782783,17683.480651560094,17683.448135924304
59.468918918918924,18180.466964886404,18180.435222980606
60.57001001001001,18682.124739104296,18682.093739728058
61.6711011011011,19188.415363000167,19188.38507671644
62.77219219219219,19699.301276415965,19699.271675423686
63.873283283283286,20214.745924369385,20214.716982387232
64.97437437437438,20734.713713921356,20734.6854060815
66.07546546546547,21259.16997358291,21259.142276333758
67.17655655655656,21788.080915072605,21788.053806089694
68.27764764764765,22321.413597252496,22321.387055356652
69.37873873873875,22859.13589208571,22859.109897167844
70.47982982982984,23401.216452472327,23401.19098542423
71.58092092092093,23947.624681832578,23947.599724483127
72.68201201201202,24498.33070531722,24498.306240373524
73.78310310310312,25053.305342534994,25053.281353528026
74.88419419419421,25612.520081695944,25612.496552930254
75.9852852852853,26175.947055077668,26175.92397158484
77.08637637637639,26743.55901572872,26743.53636322419
78.18746746746747,27315.32931533018,27315.307080173214
79.28855855855856,27891.231883142613,27891.2100522991
80.38964964964966,28471.241205970793,28471.219766978644
81.49074074074075,29055.3323090841,29055.311250021074
82.59183183183184,29643.480738034654,29643.460047488363
83.69292292292293,30235.662541319773,30235.642208359714
84.79401401401402,30831.854253839043,30831.834267990504
85.89510510510512,31432.032881099785,31432.01323231945
86.99619619619621,32036.175884128083,32036.15656278123
88.0972872872873,32644.261165045355,32644.24216188455
89.1983783783784,33256.267053273245,33256.248359418336
90.29946946946949,33872.17229233218,33872.1538992516
91.40056056056058,34491.95602720114,34491.9379266943
92.50165165165166,35115.59779220832,35115.57997638917
93.60274274274275,35743.077499424624,35743.05996070616
94.70383383383384,36374.37542753319,36374.35815861283
95.80492492492493,37009.47221115035,37009.455204996324
96.90601601601603,37648.34883057487,37648.33208041327
98.00710710710712,38290.98660194345,38290.9701012461
99.10819819819821,38937.36716777221,38937.35091024523
100.2092892892893,39587.47248786493,39587.4564674379
101.3103803803804,40241.2848305699,40241.26904138569
102.41147147147149,40898.786764368546,40898.77120077368
103.51256256256258,41559.9611497797,41559.945806315256
104.61365365365367,42224.791131564656,42224.77600295766
105.71474474474475,42893.26013121853,42893.24521237383
106.81583583583584,43565.351839735005,43565.33712572755
107.91692692692693,44241.05021063131,44241.03569669885
109.01801801801803,44920.33945322189,44920.32513475806
110.11910910910912,45603.20402612951,45603.18989867728
111.22020020020021,46289.628631022904,46289.61469026834
112.3212912912913,46979.59820657106,46979.58444833742
113.4223823823824,47673.09792260476,47673.08434284689
114.52347347347349,48370.113174476,48370.099769275
115.62456456456458,49070.62957760715,49070.61634316531
116.72565565565567,49774.63296222145,49774.619894857424
117.82674674674676,50482.10936824734,50482.09646439156
118.92783783783786,51193.04504038924,51193.03229657956
120.02892892892893,51907.42642335796,51907.41383623547
121.13002002002003,52625.24015725411,52625.227723559234
122.23111111111112,53346.473073098205,53346.46078966685
123.33220220220221,54071.112188501684,54071.1000522617
124.4332932932933,54799.14470347319,54799.13271144089
